Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
Oregon-California,Pacific Ocean,40.95,-124.3,exact location,90,continental shelf (>50-200m),5.4,in situ,lander with benthic chambers,TOU,NA,no,no
Bering Sea,Pacific Ocean,59.9,-174,exact location,104,continental shelf (>50-200m),5.41,ex situ ,core incubation,TOU,NA,NA,no
East China Sea,Pacific Ocean,30.8632,122.4581,approximated location,19,near-shore (0-50m),5.429362881,ex situ,core incubation,TOU,clayey silt,NA,no
Nares Strait,Arctic Ocean,78.99,-73.33,exact location,548,continental slope (>200-2000m),5.43,ex situ ,core incubation,TOU,sand/ gravel,not investigated,no
Bering Sea,Pacific Ocean,62.76,-172.71,exact location,53,continental shelf (>50-200m),5.43,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.76,-172.71,exact location,63,continental shelf (>50-200m),5.43,ex situ ,core incubation,TOU,NA,NA,no
Hadangerfjord (Norway),Atlantic Ocean,59.72,5.4,exact location,200,continental shelf (>50-200m),5.44,ex situ ,core incubation,TOU,fine silt,not investigated,no
Bering Sea,Pacific Ocean,62.4,-174.58,exact location,68,continental shelf (>50-200m),5.44,ex situ ,core incubation,TOU,NA,NA,no
Rockall Trough,Atlantic Ocean,55.03,-12.05,exact location,2880,abyssal plain/ continental rise (>2000m),5.45,ex situ ,core incubation,TOU,NA,not investigated,no
"Skagerrak, North Sea",Atlantic Ocean,57.6,8.1,exact location,196,continental shelf (>50-200m),5.46,ex situ ,core microprofiling,DOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.055,-170.632,exact location,49,near-shore (0-50m),5.46,ex situ ,core incubation,TOU,silt,NA,no
Bering Sea,Pacific Ocean,62.06,-170.63,exact location,49,near-shore (0-50m),5.46,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,59.89,-178.74,exact location,152,continental shelf (>50-200m),5.48,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.42,-173.41,exact location,65,continental shelf (>50-200m),5.49,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,71.404,-156.1158,approximated location,NA,near-shore (0-50m),5.5,in situ,lander with benthic chambers,TOU,NA,no,no
Svalbard,Arctic Ocean,81.28,26.85,exact location,503,continental slope (>200-2000m),5.5,ex situ ,core incubation,TOU,NA,not investigated,no
"Belgian continental shelf, North Sea",Atlantic Ocean,51.15,2.62,exact location,13,near-shore (0-50m),5.5,ex situ ,core incubation,TOU,NA,no,no
S Atlantic Ocean,Atlantic Ocean,-23.23,13.01,exact location,604,continental slope (>200-2000m),5.5,ex situ,core incubation,TOU,NA,not investigated,no
Yemen-Somalia,Indian Ocean,-2.01,41.45,exact location,500,continental slope (>200-2000m),5.5,ex situ ,core incubation,TOU,NA,not investigated,no
Rhone Rivermouth,Mediterranean Sea,43.17,4.7,exact location,78,continental shelf (>50-200m),5.5,ex situ ,core microprofiling,DOU,silt/ clay,no,no
Oregon-California,Pacific Ocean,43.92,-124.69,exact location,190,continental shelf (>50-200m),5.5,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Oregon shelf,Pacific Ocean,44.6567,-124.3,approximated location,82,continental shelf (>50-200m),5.5,in situ,lander with benthic chambers,TOU,sand,NA,no
British Columbia,Pacific Ocean,48.81,-125.28,exact location,96,continental shelf (>50-200m),5.51,ex situ ,core incubation,TOU,NA,no,no
Bering Sea,Pacific Ocean,61.38,-171.95,exact location,55,continental shelf (>50-200m),5.52,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,55.76,-163.53,exact location,92,continental shelf (>50-200m),5.53,ex situ ,core incubation,TOU,NA,NA,no
California,Pacific Ocean,35.6,-121.2,exact location,95,continental shelf (>50-200m),5.54,in situ,lander with benthic chambers,TOU,NA,no,no
California,Pacific Ocean,35.4,-121.1,exact location,231,continental slope (>200-2000m),5.54,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.17,-176.01,exact location,95,continental shelf (>50-200m),5.55,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.1658,-176.0113,exact location,95,continental shelf (>50-200m),5.56,ex situ ,core incubation,TOU,silt,NA,no
Taiwan,Pacific Ocean,22.22,120.33,exact location,462,continental slope (>200-2000m),5.56,ex situ ,core incubation,TOU,clay/ silt,not investigated,no
Chukchi Sea,Arctic Ocean,72.63,-157.41,exact location,398,continental slope (>200-2000m),5.59,ex situ ,core incubation,TOU,silt,not investigated,no
Chukchi Sea,Arctic Ocean,72.63,-157.41,exact location,398,continental slope (>200-2000m),5.59,ex situ ,core incubation,TOU,NA,not investigated,no
Svalbard,Arctic Ocean,0.46,77.55,exact location,170,continental shelf (>50-200m),5.59,ex situ ,core microprofiling,DOU,NA,not investigated,no
Svalbard,Arctic Ocean,80.15,29.6,exact location,286,continental slope (>200-2000m),5.6,ex situ ,core incubation,TOU,NA,not investigated,no
Celtic Sea,Atlantic Ocean,49.865,-7.949,exact location,72,continental shelf (>50-200m),5.6,ex situ ,core microprofiling,DOU,sand,NA,no
Skagerrak/ Kattegat,Atlantic Ocean,58.0833,10.0667,exact location,200,continental shelf (>50-200m),5.6,ex situ,core microprofiling,DOU,clayey mud,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-23.2533,12.805,exact location,992,continental slope (>200-2000m),5.6,ex situ,core incubation,TOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-28.95,14.17,exact location,1015,continental slope (>200-2000m),5.6,ex situ,core incubation,TOU,NA,not investigated,no
Arabian Sea,Indian Ocean,16.43,60.5,exact location,4050,abyssal plain/ continental rise (>2000m),5.6,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,73.05,-160.49,exact location,170,continental shelf (>50-200m),5.63,ex situ ,core incubation,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,71.97,-152.11,exact location,2227,abyssal plain/ continental rise (>2000m),5.63,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,59.01,-174.01,exact location,123,continental shelf (>50-200m),5.63,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,71.97,-152.11,exact location,2227,abyssal plain/ continental rise (>2000m),5.64,ex situ ,core incubation,TOU,silt,not investigated,no
Skagerrak/ Kattegat,Atlantic Ocean,57.6167,10.8,exact location,25,near-shore (0-50m),5.65,ex situ,core incubation,TOU,muddy sand,NA,no
Frisian Front,Atlantic Ocean,53.7,4.5,exact location,39,near-shore (0-50m),5.6916,ex situ ,core incubation,TOU,fine sand/ silt,no,no
Goban Spur,Atlantic Ocean,49.47,-11.21,exact location,208,continental slope (>200-2000m),5.7,ex situ,core microprofiling,DOU,NA,not investigated,no
"shelf edge, Black Sea",Black Sea,43.69,30.05,exact location,142,continental shelf (>50-200m),5.7,in situ,lander with benthic chambers,TOU,NA,no,no
Gulf of Mexico,Gulf of Mexico,29.0834,-93.0127,exact location,23,near-shore (0-50m),5.7,in situ,lander with benthic chambers,TOU,NA,no,no
Bering Sea,Pacific Ocean,62.7494,-173.411,exact location,70,continental shelf (>50-200m),5.7,ex situ ,core incubation,TOU,silt,NA,no
Bering Sea,Pacific Ocean,62.75,-173.41,exact location,70,continental shelf (>50-200m),5.7,ex situ ,core incubation,TOU,NA,NA,no
British Columbia,Pacific Ocean,48.31,-126.07,exact location,868,continental slope (>200-2000m),5.7,ex situ ,core incubation,TOU,NA,not investigated,no
Oregon-California,Pacific Ocean,43.93,-124.32,exact location,105,continental shelf (>50-200m),5.7,in situ,lander with benthic chambers,TOU,NA,no,no
"Taiwan, South China Sea",Pacific Ocean,22.1831,120.3,exact location,688.5,continental slope (>200-2000m),5.7084608,ex situ,core incubation,TOU,NA,not investigated,no
Svalbard,Arctic Ocean,79.0167,10.75,exact location,326,continental slope (>200-2000m),5.73,ex situ ,core microprofiling,DOU,NA,not investigated,no
"N Dogger Bank, North Sea",Atlantic Ocean,54.6833,2.2833,exact location,81,continental shelf (>50-200m),5.736,ex situ,core incubation,TOU,muddy sand,NA,no
Mid-Atlantic Bight,Atlantic Ocean,39.4515,-74.2884,approximated location,11,near-shore (0-50m),5.74,in situ,benthic incubation chamber,TOU,sand,yes,no
Svalbard,Arctic Ocean,80.1333,9.85,exact location,550,continental slope (>200-2000m),5.75,ex situ ,core incubation,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,72.63,-158.73,exact location,104,continental shelf (>50-200m),5.76,ex situ ,core incubation,TOU,NA,NA,no
Chesapeake Bay,Atlantic Ocean,38.509,-76.3776,approximated location,16,near-shore (0-50m),5.76,ex situ ,core incubation,TOU,NA,NA,no
"Curonian Lagoon (SE Baltic Sea, Lithuania)",Atlantic Ocean,55.34,21.21,approximated location,1,near-shore (0-50m),5.76,ex situ ,core microprofiling,DOU,sand,yes,no
Chukchi Sea,Arctic Ocean,72.63,-158.73,exact location,104,continental shelf (>50-200m),5.77,ex situ ,core incubation,TOU,silt,NA,no
Bering Sea,Pacific Ocean,59.55,-175.15,exact location,134,continental shelf (>50-200m),5.78,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.27,-173.78,exact location,74,continental shelf (>50-200m),5.78,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,59.07,-170.17,exact location,66.7,continental shelf (>50-200m),5.78,ex situ ,core incubation,TOU,NA,NA,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.64,-70.91,approximated location,7,near-shore (0-50m),5.8,ex situ ,core incubation,TOU,NA,NA,no
Celtic Sea sand-bank,Atlantic Ocean,50,-8.15,exact location,118,continental shelf (>50-200m),5.8,ex situ ,core incubation,TOU,mud/ fine sand,NA,no
Celtic Sea,Atlantic Ocean,50,-8.15,exact location,118,continental shelf (>50-200m),5.8,ex situ ,core microprofiling,DOU,mud/ fine sand,NA,no
Celtic Sea,Atlantic Ocean,49.907,-7.874,exact location,108,continental shelf (>50-200m),5.8,ex situ ,core microprofiling,DOU,mud/ fine sand,NA,no
NW Black Sea shelf,Black Sea,44.2519,29.7511,exact location,77,continental shelf (>50-200m),5.8,in situ,lander with microprofiler,DOU,NA,no,no
Oregon shelf,Pacific Ocean,43.9317,-124.5067,approximated location,139,continental shelf (>50-200m),5.8,in situ,lander with benthic chambers,TOU,NA,NA,no
Oregon shelf,Pacific Ocean,44.6567,-124.3,approximated location,82,continental shelf (>50-200m),5.8,in situ,lander with benthic chambers,TOU,sand,NA,no
Oregon shelf,Pacific Ocean,44.66,-124.3,exact location,82,continental shelf (>50-200m),5.8,in situ,eddy covariance system,TOU,fine sand,NA,no
Hikurangi Margin,Pacific Ocean,-41.78,175.42,exact location,1051,continental slope (>200-2000m),5.8,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Skagerrak, North Sea",Atlantic Ocean,58.3,10.7,exact location,329,continental slope (>200-2000m),5.81,ex situ ,core microprofiling,DOU,NA,not investigated,no
Bering Sea,Pacific Ocean,57.28,-173.84,exact location,196,continental shelf (>50-200m),5.82,ex situ ,core incubation,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,70,172.34,exact location,22,near-shore (0-50m),5.84,ex situ ,core incubation,TOU,NA,NA,no
"Skagerrak, North Sea",Atlantic Ocean,58.1,8.9,exact location,420,continental slope (>200-2000m),5.84,ex situ ,core microprofiling,DOU,NA,not investigated,no
Greenland,Arctic Ocean,70.47,-21.95,exact location,40,near-shore (0-50m),5.86,ex situ ,core microprofiling,DOU,NA,NA,no
Gulf of Lions,Mediterranean Sea,43.07,5.13,exact location,162,continental shelf (>50-200m),5.86,ex situ ,core incubation,TOU,silt/ sand,not investigated,no
Chukchi Sea,Arctic Ocean,72.0783,-159.7513,exact location,50,near-shore (0-50m),5.868,ex situ,core microprofiling,DOU,NA,NA,no
Laptev Sea,Arctic Ocean,76.25,-166.1833,exact location,471,continental slope (>200-2000m),5.87,ex situ ,core incubation,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,71.28,-164.25,exact location,48,near-shore (0-50m),5.87,ex situ ,core incubation,TOU,NA,NA,no
North Sea,Atlantic Ocean,51.15,2.62,exact location,13,near-shore (0-50m),5.87,ex situ ,core incubation,TOU,fine sand,no,no
Bering Sea,Pacific Ocean,62.58,-173.09,exact location,67,continental shelf (>50-200m),5.87,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.5814,-173.0856,exact location,67,continental shelf (>50-200m),5.87,ex situ ,core incubation,TOU,silt,NA,no
Beaufort Sea,Arctic Ocean,72.18,-153.91,exact location,2000,continental slope (>200-2000m),5.88,ex situ ,core microprofiling,DOU,NA,not investigated,no
Arctic Ocean,Arctic Ocean,74.318,-91.406,exact location,331,continental slope (>200-2000m),5.884502924,ex situ ,core incubation,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,70.09,-166.46,exact location,47,near-shore (0-50m),5.89,ex situ ,core incubation,TOU,NA,NA,no
Eel River shelf,Pacific Ocean,41,-124.34,exact location,125,continental shelf (>50-200m),5.9,in situ,lander with benthic chambers,TOU,NA,NA,no
Taiwan,Pacific Ocean,22.35,120.27,exact location,655,continental slope (>200-2000m),5.91,ex situ ,core incubation,TOU,silt,not investigated,no
Chukchi Sea,Arctic Ocean,71.9354,-154.9102,exact location,634,continental slope (>200-2000m),5.946,ex situ,core microprofiling,DOU,NA,not investigated,no
Mediterranean Sea,Mediterranean Sea,43.27,4.32,exact location,60,continental shelf (>50-200m),5.952,ex situ ,core microprofiling,DOU,silt,NA,no
Bering Sea,Pacific Ocean,62.2,-175.14,exact location,81,continental shelf (>50-200m),5.96,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,59.9,-174,exact location,104,continental shelf (>50-200m),5.96,ex situ ,core incubation,TOU,NA,NA,no
Washington,Pacific Ocean,46.88,-124.49,exact location,85,continental shelf (>50-200m),5.96,in situ,lander with benthic chambers,TOU,sand,no,no
Washington,Pacific Ocean,46.61,-124.48,exact location,122,continental shelf (>50-200m),5.96,in situ,lander with benthic chambers,TOU,sand,no,no
Taiwan,Pacific Ocean,22.18,120.3,exact location,690,continental slope (>200-2000m),5.97,ex situ ,core incubation,TOU,clay/ silt,not investigated,no
Bering Sea,Pacific Ocean,59.59,-175.07,exact location,132,continental shelf (>50-200m),5.98,ex situ ,core incubation,TOU,NA,NA,no
S Atlantic Ocean,Atlantic Ocean,-28.9983,13.84,exact location,2005,abyssal plain/ continental rise (>2000m),6,ex situ ,core incubation,TOU,NA,not investigated,no
Gulf of Mexico,Gulf of Mexico,28.96,-90.57,approximated location,17,near-shore (0-50m),6,in situ,benthic incubation chamber,TOU,NA,NA,no
Oregon-California,Pacific Ocean,40.95,-124.3,exact location,90,continental shelf (>50-200m),6,in situ,lander with benthic chambers,TOU,NA,no,no
San Rsdro Basin,Pacific Ocean,33.74,-118.79,exact location,900,continental slope (>200-2000m),6,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"China, South China Sea",Pacific Ocean,22.2728,116.17,exact location,50,near-shore (0-50m),6,ex situ,core incubation,TOU,NA,NA,no
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4667,3.5,exact location,912,continental slope (>200-2000m),6.05,in situ,lander with benthic chambers,TOU,mud/ clay,not investigated,no
Black Sea,Black Sea,44.49,30.99,exact location,120,continental shelf (>50-200m),6.06,ex situ ,core incubation,TOU,NA,NA,no
Greenland,Arctic Ocean,69.25,-53.57,exact location,50,near-shore (0-50m),6.07,ex situ ,core incubation,TOU,NA,NA,no
Chatham Rise,Pacific Ocean,-42.62,175.92,exact location,1195,continental slope (>200-2000m),6.07,ex situ ,core incubation,TOU,silt/ clay,not investigated,no
Chatham Rise,Pacific Ocean,-42.62,175.93,exact location,1210,continental slope (>200-2000m),6.07,ex situ ,core incubation,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,72.93,-177.23,exact location,79,continental shelf (>50-200m),6.08,ex situ ,core incubation,TOU,NA,NA,no
Svalbard,Arctic Ocean,76.9617,15.0033,exact location,138,continental shelf (>50-200m),6.1,in situ,lander with microprofiler,DOU,NA,no,no
Umpqua River shelf,Pacific Ocean,43.93,-124.32,exact location,105,continental shelf (>50-200m),6.1,in situ,lander with benthic chambers,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,70.54,178.53,exact location,1000,continental slope (>200-2000m),6.12,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.0178,-175.061,exact location,80,continental shelf (>50-200m),6.13,ex situ ,core incubation,TOU,silt,NA,no
Bering Sea,Pacific Ocean,62.02,-175.06,exact location,80,continental shelf (>50-200m),6.13,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.38,-174.54,exact location,71,continental shelf (>50-200m),6.14,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
Bering Sea,Pacific Ocean,58.35,-171.8,exact location,98.5,continental shelf (>50-200m),6.14,ex situ ,core incubation,TOU,NA,NA,no
"Skagerrak, North Sea",Atlantic Ocean,57.8,9.2,exact location,117,continental shelf (>50-200m),6.16,ex situ ,core microprofiling,DOU,NA,no,no
Bering Sea,Pacific Ocean,62.52,-174.31,exact location,79,continental shelf (>50-200m),6.17,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,72.1,-162.98,exact location,36,near-shore (0-50m),6.19,ex situ ,core incubation,TOU,NA,NA,no
Chatham Rise,Pacific Ocean,-43.52,-178.62,exact location,422,continental slope (>200-2000m),6.19,ex situ ,core incubation,TOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-43.52,-178.62,exact location,424,continental slope (>200-2000m),6.19,ex situ ,core incubation,TOU,sand/ silt,not investigated,no
Chatham Rise,Pacific Ocean,-44.12,174.84,exact location,522,continental slope (>200-2000m),6.19,ex situ ,core incubation,TOU,silt,not investigated,no
Chatham Rise,Pacific Ocean,-44.13,174.85,exact location,515,continental slope (>200-2000m),6.19,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,61.89,-174.38,exact location,65,continental shelf (>50-200m),6.21,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,61.89,-174.38,exact location,78,continental shelf (>50-200m),6.21,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,61.93,-171.22,exact location,53,continental shelf (>50-200m),6.22,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,73.01,-160.61,exact location,121,continental shelf (>50-200m),6.24,ex situ ,core incubation,TOU,NA,NA,no
Gulf of Lions,Mediterranean Sea,43.07,4.75,exact location,102,continental shelf (>50-200m),6.24,ex situ ,core incubation,TOU,silt/ clay,NA,no
